QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT,UDF
01a7e891-0001-82b4-0000-0004f1873351,142893,162,110755,1000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple_with_pandas
01a7e891-0001-82b4-0000-0004f187334d,50301,258,5172,10000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple_with_pandas
01a7e891-0001-82ae-0000-0004f18742fd,32223,156,3082,100,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple_with_pandas
01a7e891-0001-82b4-0000-0004f1873345,51023,194,21404,10000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_vectorized
01a7e891-0001-82b4-0000-0004f1873341,37968,164,8646,1000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_vectorized
01a7e891-0001-82b4-0000-0004f187333d,29700,181,6363,10000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_vectorized
01a7e891-0001-82ae-0000-0004f18742f9,29400,132,9692,100,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100,calc_fac_vectorized
01a7e891-0001-82b4-0000-0004f1873339,108556,151,88876,10000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000000,calc_fac_simple
01a7e891-0001-82ae-0000-0004f18742f5,31891,168,12567,1000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_simple
01a7e891-0001-82ae-0000-0004f18742f1,19854,153,2057,10000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_simple
01a7e891-0001-82ae-0000-0004f18742ed,19422,172,1821,100,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100,calc_fac_simple
